article singular,noun singular,article plural,noun plural,meaning
Die,Zeit,Die,Zeiten,Time
Der,Mann,Die,Männer,Man
Die,Hand,Die,Hände,Hand
Der,Tag,Die,Tage,Day
Der,Weg,Die,Wege,Way
Das,Auge,Die,Augen,Eye
Die,Sache,Die,Sachen,Thing
Der,Kopf,Die,Köpfe,Head
Das,Jahr,Die,Jahre,Year
Das,Zimmer,Die,Zimmer,Room
Die,Tür,Die,Türen,Door
Die,Frau,Die,Frauen,Woman
Das,Gesicht,Die,Gesichter,Face
Die,Mutter,Die,Mütter,Mother
Die,Leute,,,People
Die,Nacht,Die,Nächte,Night
Das,Haus,Die,Häuser,House
Der,Vater,Die,Väter,Father
Das,Leben,Die,Leben,Life
Der,Rücken,Die,Rücken,Back
Die,Stimme,Die,Stimmen,Voice
Das,Mädchen,Die,Mädchen,Girl
Der,Ort,Die,Orte,Place
Der,Junge,Die,Jungen,Boy
Das,Auto,Die,Autos,Car
Die,Seite,Die,Seiten,Side
Der,Arm,Die,Arme,Arm
Das,Kind,Die,Kinder,Child
Das,Wort,Die,Wörter,Word
Der,Moment,Die,Momente,Moment
Das,Haar,Die,Haare,Hair
Der,Fuß,Die,Füße,Foot
Das,Wasser,,,Water
Das,Licht,Die,Lichter,Light
Die,Welt,Die,Welten,World
Der,Name,Die,Namen,Name
Der,Freund,Die,Freunde,Friend
Das,Fenster,Die,Fenster,Window
Der,Körper,Die,Körper,Body
Der,Tisch,Die,Tische,Table
Der,Morgen,Die,Morgen,Morning
Das,Bett,Die,Betten,Bed
Die,Wand,Die,Wände,Wall
Die,Straße,Die,Straßen,Street
Die,Schule,Die,Schulen,School
Die,Luft,,,Air
Der,Boden,Die,Böden,Floor
Die,Stunde,Die,Stunden,Hour
Das,Ende,Die,Enden,End
Die,Familie,Die,Familien,Family
Der,Kerl,Die,Kerle,Guy
Das,Kind,Die,Kinder,Kind
Die,Minute,Die,Minuten,Minute
Die,Geschichte,Die,Geschichten,Story
Der,Gott,Die,Götter,God
Die,Woche,Die,Wochen,Week
Die,Arbeit,,,Work
Die,Schulter,Die,Schultern,Shoulder
Der,Teil,Die,Teile,Part
Der,Verstand,,,Mind
Das,Buch,Die,Bücher,Book
Der,Finger,Die,Finger,Finger
Der,Mund,Die,Münder,Mouth
Das,Kind,Die,Kinder,Kid
Das,Glas,Die,Gläser,Glass
Der,Baum,Die,Bäume,Tree
Der,Klang,Die,Klänge,Sound
Die,Linie,Die,Linien,Line
Die,Ehefrau,Die,Ehefrauen,Wife
Das,Herz,Die,Herzen,Heart
Das,Geld,,,Money
Das,Telefon,Die,Telefone,Phone
Der,Blick,Die,Blicke,Look
Das,Bein,Die,Beine,Leg
Der,Stuhl,Die,Stühle,Chair
Das,Büro,Die,Büros,Office
Der,Bruder,Die,Brüder,Brother
Die,Frage,Die,Fragen,Question
Die,Stadt,Die,Städte,City
Der,Monat,Die,Monate,Month
Das,Baby,Die,Babys,Baby
Das,Zuhause,Die,Zuhause,Home
Der,Hund,Die,Hunde,Dog
Die,Straße,Die,Straßen,Road
Die,Idee,Die,Ideen,Idea
Die,Küche,Die,Küchen,Kitchen
Das,Grundstück,Die,Grundstücke,Lot
Der,Sohn,Die,Söhne,Son
Der,Job,Die,Jobs,Job
Das,Papier,Die,Papiere,Paper
Die,Schwester,Die,Schwestern,Sister
Das,Lächeln,Die,Lächeln,Smile
Der,Punkt,Die,Punkte,Point
Der,Gedanke,Die,Gedanken,Thought
Die,Liebe,,,Love
Die,Stadt,Die,Städte,Town
Der,Tod,Die,Tode,Death
Der,Boden,Die,Böden,Ground
Die,Anderen,,,Others
Das,Feuer,Die,Feuer,Fire
Der,Schritt,Die,Schritte,Step
Das,Blut,,,Blood
Die,Tatsache,Die,Tatsachen,Fact
Der,Atem,Die,Atemzüge,Breath
Die,Lippe,Die,Lippen,Lip
Die,Sonne,Die,Sonnen,Sun
Das,Gebäude,Die,Gebäude,Building
Die,Nummer,Die,Nummern,Number
Der,Ehemann,Die,Ehemänner,Husband
Der,Elternteil,Die,Elternteile,Parent
Die,Ecke,Die,Ecken,Corner
Das,Problem,Die,Probleme,Problem
Das,Paar,Die,Paare,Couple
Die,Tochter,Die,Töchter,Daughter
Die,Tasche,Die,Taschen,Bag
Die,Hölle,,,Hell
Die,Ruhe,,,Rest
Das,Geschäft,Die,Geschäfte,Business
Der,Himmel,Die,Himmel,Sky
Die,Schachtel,Die,Schachteln,Box
Die,Person,Die,Personen,Person
Der,Grund,Die,Gründe,Reason
Das,Recht,,,Right
Die,Haut,Die,Häute,Skin
Der,Vater,Die,Väter,Dad
Der,Fall,Die,Fälle,Case
Das,Stück,Die,Stücke,Piece
Der,Arzt,Die,Ärzte,Doctor
Der,Rand,Die,Ränder,Edge
Die,Mutter,Die,Mütter,Mom
Das,Bild,Die,Bilder,Picture
Der,Sinn,Die,Sinne,Sense
Das,Ohr,Die,Ohren,Ear
Die,Sekunde,Die,Sekunden,Second
Die,Dame,Die,Damen,Lady
Der,Hals,Die,Hälse,Neck
Der,Wind,Die,Winde,Wind
Der,Schreibtisch,Die,Schreibtische,Desk
Die,Waffe,Die,Waffen,Gun
Der,Stein,Die,Steine,Stone
Der,Kaffee,Die,Kaffees,Coffee
Das,Schiff,Die,Schiffe,Ship
Die,Erde,,,Earth
Das,Essen,,,Food
Das,Pferd,Die,Pferde,Horse
Das,Feld,Die,Felder,Field
Der,Krieg,Die,Kriege,War
Der,Nachmittag,Die,Nachmittage,Afternoon
Der,Herr,Die,Herren,Sir
Der,Raum,Die,Räume,Space
Der,Abend,Die,Abende,Evening
Der,Brief,Die,Briefe,Letter
Die,Bar,Die,Bars,Bar
Der,Traum,Die,Träume,Dream
Die,Wohnung,Die,Wohnungen,Apartment
Die,Brust,Die,Brüste,Chest
Das,Spiel,Die,Spiele,Game
Der,Sommer,Die,Sommer,Summer
Die,Angelegenheit,Die,Angelegenheiten,Matter
Die,Stille,,,Silence
Die,Spitze,Die,Spitzen,Top
Der,Felsen,Die,Felsen,Rock
Die,Macht,,,Power
Die,Kleidung,,,Clothes
Das,Schild,Die,Schilder,Sign
Die,Aufmerksamkeit,,,Attention
Die,Musik,,,Music
Der,Zustand,Die,Zustände,State
Die,Tasche,Die,Taschen,Pocket
Das,Abendessen,Die,Abendessen,Dinner
Der,Saal,Die,Säle,Hall
Der,Schmerz,Die,Schmerzen,Pain
Das,Alter,,,Age
Der,Fluss,Die,Flüsse,River
Die,Chance,Die,Chancen,Chance
Die,Nase,Die,Nasen,Nose
Der,Schatten,Die,Schatten,Shadow
Die,Polizei,,,Police
Die,Erinnerung,Die,Erinnerungen,Memory
Die,Farbe,Die,Farben,Color
Das,Knie,Die,Knie,Knee
Das,Holz,,,Wood
Das,Hemd,Die,Hemden,Shirt
Die,Party,Die,Partys,Party
